district,population,health_score
Gasabo,523912,53.851117095810054
Gasabo,317083,58.58027661128838
Gasabo,274568,73.97453011674517
Gasabo,692027,80.10426931307407
Gasabo,531598,68.14149505373423
Gasabo,304308,69.19036234296108
Gasabo,358862,62.0291753024115
Gasabo,197784,50.869084164919634
Gasabo,622702,50.37594173988104
Gasabo,236130,66.31454015549699
Gasabo,232918,87.74281390982809
Gasabo,584581,64.97773656753694
Gasabo,562216,51.600312954996134
Gasabo,238802,71.17547341701744
Gasabo,374689,51.46685278565853
Gasabo,500975,51.74760312821089
Gasabo,685680,73.47694322855641
Gasabo,281228,76.72657290488553
Gasabo,449481,65.59852438589047
Gasabo,667484,60.3950435513284
Gasabo,180428,72.91497036640177
Gasabo,186251,76.8693425219554
Gasabo,213545,76.10961499455513
Gasabo,654230,60.626271881665254
Gasabo,223683,72.18007442745699
Gasabo,660984,67.5424259394967
Gasabo,173596,66.53373479515588
Gasabo,261198,66.64824334522777
Gasabo,545989,87.68830891302628
Gasabo,426829,64.52975950162669
Gasabo,449300,74.64468464989106
Gasabo,137872,74.33496406914615
Gasabo,404889,67.55214988325804
Gasabo,525330,71.1538309025228
Gasabo,438719,87.24089514885117
Gasabo,145894,85.85330011295906
Gasabo,263705,55.9005702123109
Gasabo,299136,70.43306437276274
Gasabo,208303,88.54489096111806
Gasabo,376881,69.01017248014328
Gasabo,494451,74.2664798347499
Gasabo,342838,58.73887130528331
Gasabo,397674,86.68765552322091
Gasabo,255155,83.00584447591778
Gasabo,302421,55.14283106621886
Gasabo,273778,72.71258032947222
Gasabo,586500,77.28679979860742
Gasabo,667260,78.27953110354798
Gasabo,330319,70.22812999296228
Gasabo,440925,75.54523302499892
Gasabo,498161,67.14034933591958
Gasabo,210364,72.16249082512695
Gasabo,609384,62.39794895475224
Gasabo,355147,59.30814251945224
Gasabo,495729,73.67646135016986
Gasabo,443637,54.77838901702598
Gasabo,540714,75.89198142327368
Gasabo,115662,58.27008081942719
Gasabo,177619,87.01120695843677
Gasabo,242199,86.57311231358528
Gasabo,297304,50.8203149832573
Gasabo,243529,79.68818587336142
Gasabo,608921,60.999375306874484
Gasabo,395283,57.71458240712842
Gasabo,304545,76.99123351343957
Gasabo,358360,71.38855462245286
Gasabo,190516,84.40516214210473
Gasabo,406120,51.167577168470416
Gasabo,668307,85.64034393204884
Gasabo,662855,84.46036383608083
Gasabo,140252,75.04370788780201
Gasabo,429471,72.27483849856154
